,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
9,9,0.5,0.1,0.005,12,0.1811955761697301,373
10,10,0.5,0.1,0.005,16,0.1694968311422495,388
11,11,0.5,0.1,0.005,20,0.17877690345606415,411
12,12,0.5,0.1,0.01,10,0.2773245515362852,277
13,13,0.5,0.1,0.01,12,0.2717861568189792,309
14,14,0.5,0.1,0.01,16,0.3078293708555543,325
15,15,0.5,0.1,0.01,20,0.26299121887833604,360
16,16,0.5,0.2,0.005,10,0.1393985869425752,149
17,17,0.5,0.2,0.005,12,0.13140056536384095,155
18,18,0.5,0.2,0.005,16,0.125851336514628,157
19,19,0.5,0.2,0.005,20,0.1169632461417038,164
20,20,0.5,0.2,0.01,10,0.18797550901244348,133
21,21,0.5,0.2,0.01,12,0.17614236974453876,142
22,22,0.5,0.2,0.01,16,0.1784749647667983,150
23,23,0.5,0.2,0.01,20,0.14775877058809633,162
