,eta,epsilon,sigma_init,mu,K,MSE,MAE,MASE,MAPE,CB
130,0.05,0.5,0.6,0.1,1,0.12914551126643414,0.2186928937373678,8.615561190043055,37493.606705363825,75
131,0.05,0.5,0.6,0.1,2,0.129420584052172,0.21901524788919682,8.624266100919984,37493.75317941781,75
132,0.05,0.5,0.6,0.1,4,0.12981077542523592,0.21947509365898477,8.627812375567219,37481.91604392054,75
133,0.05,0.5,0.6,0.1,6,0.13075186315740686,0.22035114288179378,8.667598680254049,37495.61540371932,75
134,0.05,0.5,0.6,0.1,8,0.13106227595898157,0.22080325985459986,8.676865520777133,37502.65218860762,75
135,0.05,0.5,0.6,0.2,1,0.12365327317940276,0.21793297162673314,8.603512892784568,43782.686796352515,75
136,0.05,0.5,0.6,0.2,2,0.12393295650923003,0.21827716089439775,8.61242657060741,43782.63222041021,75
137,0.05,0.5,0.6,0.2,4,0.12438698850048628,0.21878591611011614,8.617832476288239,43768.337162611184,75
138,0.05,0.5,0.6,0.2,6,0.12518913662764616,0.21958128202150506,8.654516257383499,43780.90028223179,75
139,0.05,0.5,0.6,0.2,8,0.12552805685444285,0.2200794349501731,8.664736500429314,43789.0402214712,75
140,0.05,0.5,0.6,0.3,1,0.12070930263868448,0.21797714001058155,8.616484625930012,47811.67972065632,75
141,0.05,0.5,0.6,0.3,2,0.12096329340425596,0.21829826818675926,8.624576833346595,47811.07743395148,75
142,0.05,0.5,0.6,0.3,4,0.12140970450030071,0.21878987341437897,8.630553100628621,47794.14696000254,75
143,0.05,0.5,0.6,0.3,6,0.12206234525903924,0.2194568737444367,8.661769575484366,47804.4490415999,75
144,0.05,0.5,0.6,0.3,8,0.12236353553198231,0.21990526279846936,8.67096301346294,47811.985568480006,75
145,0.05,0.5,0.6,0.4,1,0.11921851976310646,0.21875662298324017,8.65353281991738,50822.086945046016,75
146,0.05,0.5,0.6,0.4,2,0.11944529828677491,0.21904683420611176,8.660670373388562,50820.5362165213,75
147,0.05,0.5,0.6,0.4,4,0.11987049240230413,0.2195065676644339,8.666689146592919,50798.415883706584,75
148,0.05,0.5,0.6,0.4,6,0.12039562015689657,0.22004965922831385,8.692598641418277,50806.38564680257,75
149,0.05,0.5,0.6,0.4,8,0.12064373111061606,0.22042063159728068,8.700205715811789,50812.806391015234,75
150,0.05,1.0,0.2,0.05,1,0.7817293765243287,0.49006316063303396,16.666510614856996,24723.021183901918,20
151,0.05,1.0,0.2,0.05,2,0.7817343190230428,0.4900648807984514,16.666535125992223,24723.04767643763,20
152,0.05,1.0,0.2,0.05,4,0.7817777976380313,0.4900813644557242,16.66722493062443,24724.306355474644,20
153,0.05,1.0,0.2,0.05,6,0.7818335718201808,0.4901015915791463,16.66772338581819,24724.919401325704,20
154,0.05,1.0,0.2,0.05,8,0.7818726765512571,0.4901151279328325,16.667938290511493,24724.96456634975,20
155,0.05,1.0,0.2,0.1,1,0.7812612650218271,0.4899284760201369,16.662302936199993,24728.224063500067,20
156,0.05,1.0,0.2,0.1,2,0.7812711912163824,0.4899319486129272,16.66235253525607,24728.27831604004,20
157,0.05,1.0,0.2,0.1,4,0.7813592621202634,0.48996521161093587,16.663744963380797,24730.79242569718,20
158,0.05,1.0,0.2,0.1,6,0.781472013084209,0.4900060539918193,16.664754061339455,24732.009742315204,20
159,0.05,1.0,0.2,0.1,8,0.7815505947028542,0.49003325547639826,16.665186541526914,24732.096338212254,20
160,0.05,1.0,0.2,0.2,1,0.7802956002003746,0.48965250374242963,16.65359779459486,24739.39986026986,20
161,0.05,1.0,0.2,0.2,2,0.7803156130861267,0.4896595756586741,16.65369922011603,24739.51400613202,20
162,0.05,1.0,0.2,0.2,4,0.7804964932784929,0.48972722725394463,16.656532881465385,24744.526439898975,20
163,0.05,1.0,0.2,0.2,6,0.7807271511151755,0.48981059874458766,16.658603974463954,24746.92349101339,20
164,0.05,1.0,0.2,0.2,8,0.7808858325073155,0.48986550596572787,16.65947843703165,24747.08074413363,20
165,0.05,1.0,0.2,0.3,1,0.779285706073654,0.48936823896786913,16.6445087384308,24751.718471154374,20
166,0.05,1.0,0.2,0.3,2,0.7793159549136701,0.48937904534760546,16.644664635746068,24751.899532065192,20
167,0.05,1.0,0.2,0.3,4,0.7795950210415725,0.48948251966174383,16.649002826951794,24759.39191744396,20
168,0.05,1.0,0.2,0.3,6,0.779949598469681,0.48960993794976987,16.652182024320798,24762.920705881144,20
169,0.05,1.0,0.2,0.3,8,0.780189960654958,0.4896930386055217,16.65350781436419,24763.131455558243,20
170,0.05,1.0,0.2,0.4,1,0.7782239111858427,0.4890754719940285,16.634970512400834,24765.347831201285,20
171,0.05,1.0,0.2,0.4,2,0.7782645283854779,0.48909010920326423,16.635182709753092,24765.604832180874,20
172,0.05,1.0,0.2,0.4,4,0.7786479301551898,0.4892309750225821,16.64109731558151,24775.552991461827,20
173,0.05,1.0,0.2,0.4,6,0.7791336873416068,0.4894045406714739,16.645464116719083,24780.15369105443,20
174,0.05,1.0,0.2,0.4,8,0.7794573808997781,0.48951646469813265,16.647255159768964,24780.39947057545,20
175,0.05,1.0,0.4,0.05,1,0.5357385812350529,0.43191057200334904,17.22232382259595,45315.87488580473,20
176,0.05,1.0,0.4,0.05,2,0.5490877755606356,0.4368811902933732,17.38051613926901,45348.73672533225,20
