,eta,epsilon,mu,K,MSE,MAE,MASE,MAPE,CB
114,0.5,0.5,0.2,8,42.16543409785509,5.369439034820025,265.0514889599,2624442.906037937,18
115,0.5,0.5,0.3,1,38.51105533835864,4.58983076120918,223.84133007818485,2089497.979996881,13
116,0.5,0.5,0.3,2,31.40788441453413,4.860397488728012,238.41431585692573,2550403.2798694926,17
117,0.5,0.5,0.3,4,25.1177230266017,3.666699639808112,181.79253730729747,1813505.8968212928,19
118,0.5,0.5,0.3,6,39.852035613693296,4.827669700811465,233.836621720582,1972516.8678566883,25
119,0.5,0.5,0.3,8,34.98977139136967,4.333204772443141,210.8324138215138,2369959.3233273914,24
120,0.5,0.5,0.4,1,28.505425245555895,3.9420743080591194,190.91938755719977,1881511.5985948066,12
121,0.5,0.5,0.4,2,28.802055907891933,4.040114504472908,197.51405894889,1893845.9226402552,12
122,0.5,0.5,0.4,4,48.08034855313564,5.637803037433065,271.62938056788715,2944849.0480854404,17
123,0.5,0.5,0.4,6,40.488719271223104,4.986007289871355,242.1357682864439,2830526.306141996,19
124,0.5,0.5,0.4,8,42.89384338763759,4.953400295427457,248.71761491701534,1923530.5837852396,117
125,0.5,1.0,0.05,1,9.956859399954652,2.797178653617936,136.56910343609997,1361901.3187078957,12
126,0.5,1.0,0.05,2,6.230634654286096,2.1428886916907763,103.91896727299189,986385.898561299,14
127,0.5,1.0,0.05,4,5.945010443256603,2.1669716848428564,105.83140518604165,1027972.6287346822,14
128,0.5,1.0,0.05,6,4.491509014822316,1.8944271017645322,92.03550543447939,870053.2667483513,16
129,0.5,1.0,0.05,8,3.987598717350748,1.766688188628654,86.14692992230448,825061.8407591198,17
130,0.5,1.0,0.1,1,35.20947549275287,5.110721834238622,256.305270472314,2705207.1860029646,8
131,0.5,1.0,0.1,2,35.127293881674284,5.159586830197532,257.855405993872,2721790.4264181843,9
132,0.5,1.0,0.1,4,31.5069836517268,4.79917920398521,240.27860583559698,2515400.081521221,11
133,0.5,1.0,0.1,6,22.445589684012585,3.9938885838902896,198.45976855636152,2109258.7912029163,12
134,0.5,1.0,0.1,8,23.662269681625283,4.172611669458734,209.2163935142774,2148115.754811759,14
135,0.5,1.0,0.2,1,29.159747163161406,4.663287877216984,230.80139851451952,2399694.8508470217,5
136,0.5,1.0,0.2,2,19.820369666517774,3.8539645966969993,187.58975227436605,1934977.2207825377,6
137,0.5,1.0,0.2,4,32.03279135020057,4.689234669648655,236.84976845046452,2232976.552219702,8
138,0.5,1.0,0.2,6,21.657110281826693,3.9995162866621095,198.07583500019442,2071503.6268730739,9
139,0.5,1.0,0.2,8,32.20539416813366,4.764363157581763,238.5544324382323,2456946.6275925445,12
140,0.5,1.0,0.3,1,50.284588918534084,6.090842423594737,300.81512812240516,3228348.302722837,5
141,0.5,1.0,0.3,2,37.191063018035564,5.187282312206299,255.1371182818192,2722283.333929614,5
142,0.5,1.0,0.3,4,32.67793841598561,4.394060379385499,216.13095022501628,2407441.566923264,7
143,0.5,1.0,0.3,6,36.35872138727089,4.988324009318927,251.31325197349807,2658666.1037574257,8
144,0.5,1.0,0.3,8,21.55611269136059,4.000977740857411,197.56687943782157,2070037.188169483,11
145,0.5,1.0,0.4,1,25.36196342554641,4.442888410008293,208.6570578952377,2043874.5187096538,3
146,0.5,1.0,0.4,2,23.231549051100565,4.225581060614022,207.27229471676495,2103689.0445972304,4
147,0.5,1.0,0.4,4,21.97854969649242,4.132654903555394,204.19226562422804,1975711.8780026499,6
148,0.5,1.0,0.4,6,25.479972129281137,4.246790296803662,208.80769370421368,2153179.127686772,8
149,0.5,1.0,0.4,8,23.847273567656675,4.277568611965212,211.8953447167081,1890486.083090312,9
150,0.9,0.35,0.05,1,74.84350057995235,7.711156818502569,385.65679357500574,3559593.8917725543,24
151,0.9,0.35,0.05,2,53.942620100429245,6.026010663737612,294.52953401327375,2615145.2575193145,30
