,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
96,0.5,0.35,0.4,2,1.40125302066256,0.6548580670710342,9,9,9,0.5
97,0.5,0.35,0.4,4,1.5932481949929376,0.9392544086139204,11,11,9,2.0
98,0.5,0.35,0.4,6,1.5228502485366975,0.25915391947258726,17,17,13,4.0
99,0.5,0.35,0.4,8,1.0789431473479918,0.35277492024481344,13,13,11,2.5
100,0.5,0.5,0.05,1,1.552784855930494,0.5139062031594492,13,13,11,2.0
101,0.5,0.5,0.05,2,1.212714664575547,0.634628450837915,16,16,11,5.5
102,0.5,0.5,0.05,4,1.4335102248995453,0.35486882457247915,16,16,13,3.0
103,0.5,0.5,0.05,6,1.4015834415758122,0.3964602419403156,15,15,13,2.5
104,0.5,0.5,0.05,8,1.3805071944240852,0.4947646046184771,16,16,13,3.0
105,0.5,0.5,0.1,1,1.961843547913265,0.5157458809283367,12,12,9,3.0
106,0.5,0.5,0.1,2,1.5714287237520568,0.7496858111896995,15,15,10,5.5
107,0.5,0.5,0.1,4,1.410137265635061,0.16938337000998116,15,15,12,3.5
108,0.5,0.5,0.1,6,1.2091963551504348,0.5123565832627991,14,14,12,2.0
109,0.5,0.5,0.1,8,1.4101362099098393,0.49418866478010937,14,14,12,2.5
110,0.5,0.5,0.2,1,2.0802597181182327,0.6647040840781359,8,8,7,1.0
111,0.5,0.5,0.2,2,1.31960302273799,1.069311439991218,14,14,9,5.0
112,0.5,0.5,0.2,4,2.194829742578262,0.04924682900375377,14,14,10,4.5
113,0.5,0.5,0.2,6,1.0840040196591014,0.4226683871649913,13,13,12,1.0
114,0.5,0.5,0.2,8,1.661693970937314,0.0973267698365512,14,14,12,2.0
115,0.5,0.5,0.3,1,2.596278969530426,0.616684090670096,7,7,5,2.0
116,0.5,0.5,0.3,2,2.1649334056135445,0.2640188313972093,7,7,6,1.0
117,0.5,0.5,0.3,4,0.6906406744920134,0.34034570363881034,12,12,10,2.5
118,0.5,0.5,0.3,6,1.1340524033220598,0.7446709465357583,10,10,10,0.5
119,0.5,0.5,0.3,8,1.0437116056052418,0.5114827801705988,13,13,11,2.0
120,0.5,0.5,0.4,1,2.0586641107361308,0.7249134747265235,6,6,5,1.0
121,0.5,0.5,0.4,2,1.9259582313315216,0.42563155916455475,8,8,8,0.0
122,0.5,0.5,0.4,4,0.6695255840358919,0.3043466756329034,13,13,11,2.0
123,0.5,0.5,0.4,6,0.8764674553185353,0.5104664948164791,10,10,10,0.0
124,0.5,0.5,0.4,8,1.045698488967517,0.2185926583275738,12,12,12,0.0
125,0.5,1.0,0.05,1,2.0818765949977887,0.5507217291228789,6,6,5,1.0
126,0.5,1.0,0.05,2,1.7750925163367324,0.648713102384287,7,7,6,1.0
127,0.5,1.0,0.05,4,1.7637153847413323,0.6676572278370487,7,7,6,1.0
128,0.5,1.0,0.05,6,1.679007685050578,0.5233854997237398,7,7,6,1.0
129,0.5,1.0,0.05,8,1.611138073878811,0.5912551108955068,7,7,6,1.0
130,0.5,1.0,0.1,1,2.088612395861672,0.7820821436285531,5,5,5,0.5
131,0.5,1.0,0.1,2,2.197209611485757,0.5551406731579075,6,6,5,1.0
132,0.5,1.0,0.1,4,1.9387076442024178,0.7146860639111055,7,7,6,1.0
133,0.5,1.0,0.1,6,1.7330238808174352,0.4693693039568826,7,7,6,1.0
134,0.5,1.0,0.1,8,1.611138073878811,0.5912551108955068,7,7,6,1.0
135,0.5,1.0,0.2,1,2.437492842948457,1.161963765941728,4,4,4,0.0
136,0.5,1.0,0.2,2,2.4061823128052793,0.6500584729390427,5,5,5,0.0
137,0.5,1.0,0.2,4,2.1005616671743264,0.9129786949979644,6,6,6,0.5
