,eta,epsilon,sigma_init,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
148,0.05,0.5,0.6,0.4,6,0.30247424520009175,0.052084402071447045,27,27,17,10.0
149,0.05,0.5,0.6,0.4,8,0.3107909063677341,0.04564512205461607,27,27,17,10.0
150,0.05,1.0,0.2,0.05,1,0.947058083925991,0.004216033864407609,8,8,7,1.5
151,0.05,1.0,0.2,0.05,2,0.9470581003448835,0.004216036967401859,8,8,7,1.5
152,0.05,1.0,0.2,0.05,4,0.9470711563891893,0.004225025010813344,8,8,7,1.5
153,0.05,1.0,0.2,0.05,6,0.9470792201738649,0.004217400830791307,8,8,7,1.5
154,0.05,1.0,0.2,0.05,8,0.9470837420981173,0.004221922180399962,8,8,7,1.5
155,0.05,1.0,0.2,0.1,1,0.9470305285666962,0.0042119719230655495,8,8,7,1.5
156,0.05,1.0,0.2,0.1,2,0.9470305615096839,0.004211978174025632,8,8,7,1.5
157,0.05,1.0,0.2,0.1,4,0.9470567156740176,0.004229981213855982,8,8,7,1.5
158,0.05,1.0,0.2,0.1,6,0.9470728500167314,0.0042147270791400016,8,8,7,1.5
159,0.05,1.0,0.2,0.1,8,0.9470818941829039,0.004223770095613366,8,8,7,1.5
160,0.05,1.0,0.2,0.2,1,0.9469752692465354,0.00420378308580055,8,8,7,1.5
161,0.05,1.0,0.2,0.2,2,0.9469753355555764,0.0042037957690774785,8,8,7,1.5
162,0.05,1.0,0.2,0.2,4,0.947027812813317,0.004239910148575499,8,8,7,1.5
163,0.05,1.0,0.2,0.2,6,0.9470601086394351,0.004209378734258085,8,8,7,1.5
164,0.05,1.0,0.2,0.2,8,0.9470781982423714,0.004227466036145877,8,8,7,1.5
165,0.05,1.0,0.2,0.3,1,0.9469198106574769,0.004195506898343915,8,8,7,1.5
166,0.05,1.0,0.2,0.3,2,0.9469199107601809,0.004195526198255695,8,8,7,1.5
167,0.05,1.0,0.2,0.3,4,0.946998881300021,0.00424986119878018,8,8,7,1.5
168,0.05,1.0,0.2,0.3,6,0.9470473658449132,0.004204029267403542,8,8,7,1.5
169,0.05,1.0,0.2,0.3,8,0.9470745021550373,0.004231162123479959,8,8,7,1.5
170,0.05,1.0,0.2,0.4,1,0.9468641514288059,0.004187142459666338,8,8,7,1.5
171,0.05,1.0,0.2,0.4,2,0.9468642857573917,0.004187168563542676,8,8,7,1.5
172,0.05,1.0,0.2,0.4,4,0.946969921039329,0.004259834457502443,8,8,7,1.5
173,0.05,1.0,0.2,0.4,6,0.9470346216333412,0.004198678678734691,8,8,7,1.5
174,0.05,1.0,0.2,0.4,8,0.9470708059209101,0.004234858357607119,8,8,7,1.5
175,0.05,1.0,0.4,0.05,1,0.5857777780222269,0.010243179403406855,8,8,7,1.5
176,0.05,1.0,0.4,0.05,2,0.5876254334489734,0.00944683752965736,8,8,7,1.5
177,0.05,1.0,0.4,0.05,4,0.625502183028271,0.026647754834472626,8,8,7,1.5
178,0.05,1.0,0.4,0.05,6,0.6485422049002314,0.015694584785696464,8,8,7,1.5
179,0.05,1.0,0.4,0.05,8,0.6662733772412828,0.03332452689078452,8,8,7,1.5
180,0.05,1.0,0.4,0.1,1,0.495943036548467,0.0023440350774960317,8,8,7,1.5
181,0.05,1.0,0.4,0.1,2,0.4997782229682855,0.0043853583322813194,8,8,7,1.5
182,0.05,1.0,0.4,0.1,4,0.5763023509949707,0.027395500802621597,8,8,7,1.5
183,0.05,1.0,0.4,0.1,6,0.6249067467299438,0.005720846563222248,8,8,7,1.5
184,0.05,1.0,0.4,0.1,8,0.6595004543300562,0.040097449802011076,8,8,7,1.5
185,0.05,1.0,0.4,0.2,1,0.37292929448710466,0.005988602394960518,8,8,7,1.5
186,0.05,1.0,0.4,0.2,2,0.3777371108519328,0.0018134673426318804,8,8,7,1.5
187,0.05,1.0,0.4,0.2,4,0.48100486013806765,0.028910702423421863,8,8,7,1.5
188,0.05,1.0,0.4,0.2,6,0.5802958887615304,0.011247233599823991,8,8,7,1.5
189,0.05,1.0,0.4,0.2,8,0.6458158267927389,0.05378207733932838,8,8,7,1.5
190,0.05,1.0,0.4,0.3,1,0.320516225498801,0.028373391249015806,8,8,7,1.5
191,0.05,1.0,0.4,0.3,2,0.32374964493789343,0.024286525234612222,8,8,7,1.5
192,0.05,1.0,0.4,0.3,4,0.4008914158780569,0.02724413907619677,8,8,7,1.5
193,0.05,1.0,0.4,0.3,6,0.5393453854139941,0.024326979659065495,8,8,7,1.5
194,0.05,1.0,0.4,0.3,8,0.6320422675982944,0.06755563653377289,8,8,7,1.5
195,0.05,1.0,0.4,0.4,1,0.30080069890364247,0.045634868724650446,8,8,7,1.5
196,0.05,1.0,0.4,0.4,2,0.30225883428163325,0.042334738401222954,8,8,7,1.5
197,0.05,1.0,0.4,0.4,4,0.3413425243947421,0.022882750365127463,8,8,7,1.5
198,0.05,1.0,0.4,0.4,6,0.5020067803704883,0.03381080389510063,8,8,7,1.5
199,0.05,1.0,0.4,0.4,8,0.6182971348079049,0.08130076932416236,8,8,7,1.5
200,0.05,1.0,0.6,0.05,1,0.4084032833072859,0.04647639384179286,8,8,7,1.5
201,0.05,1.0,0.6,0.05,2,0.410218309897868,0.045279600209317816,8,8,7,1.5
202,0.05,1.0,0.6,0.05,4,0.43038823384573,0.0478121430000121,8,8,7,1.5
203,0.05,1.0,0.6,0.05,6,0.44967922780388436,0.04145127854825906,8,8,7,1.5
204,0.05,1.0,0.6,0.05,8,0.46809338075347623,0.059641661887676556,8,8,7,1.5
205,0.05,1.0,0.6,0.1,1,0.3655987446577167,0.04679667415854191,8,8,7,1.5
206,0.05,1.0,0.6,0.1,2,0.36780363100462204,0.04507886780386161,8,8,7,1.5
207,0.05,1.0,0.6,0.1,4,0.3927433761264796,0.04526437712596992,8,8,7,1.5
208,0.05,1.0,0.6,0.1,6,0.4252838178742913,0.03362675790222702,8,8,7,1.5
209,0.05,1.0,0.6,0.1,8,0.4599070214897143,0.06782802115143852,8,8,7,1.5
210,0.05,1.0,0.6,0.2,1,0.3240277919524072,0.05271833708068702,8,8,7,1.5
211,0.05,1.0,0.6,0.2,2,0.3255597056131142,0.05102706692777495,8,8,7,1.5
212,0.05,1.0,0.6,0.2,4,0.33947176878743096,0.041571036698999975,8,8,7,1.5
213,0.05,1.0,0.6,0.2,6,0.3841584449840143,0.022417068402086127,8,8,7,1.5
214,0.05,1.0,0.6,0.2,8,0.44510921636856327,0.08262582627258949,8,8,7,1.5
215,0.05,1.0,0.6,0.3,1,0.30862983741423644,0.059465857359054256,8,8,7,1.5
216,0.05,1.0,0.6,0.3,2,0.3093576756845988,0.05818693587989368,8,8,7,1.5
217,0.05,1.0,0.6,0.3,4,0.3069928635941105,0.03953959912853919,8,8,7,1.5
218,0.05,1.0,0.6,0.3,6,0.3520781154642235,0.016238411870866637,8,8,7,1.5
219,0.05,1.0,0.6,0.3,8,0.43227097595717934,0.09546406668397348,8,8,7,1.5
220,0.05,1.0,0.6,0.4,1,0.30322583644931206,0.06539994122956307,8,8,7,1.5
221,0.05,1.0,0.6,0.4,2,0.30340665890035906,0.06453471578105469,8,8,7,1.5
222,0.05,1.0,0.6,0.4,4,0.2869951587737817,0.03848398048631271,8,8,7,1.5
223,0.05,1.0,0.6,0.4,6,0.32741180958780475,0.013862510955900298,8,8,7,1.5
224,0.05,1.0,0.6,0.4,8,0.42119740159099084,0.10653764105016197,8,8,7,1.5
225,0.1,0.35,0.2,0.05,1,0.2999836308671717,0.10155489057935138,41,41,23,18.5
226,0.1,0.35,0.2,0.05,2,0.3002803157686957,0.10127833246074476,41,41,23,18.5
227,0.1,0.35,0.2,0.05,4,0.3016899565706642,0.10001077428265938,41,41,23,18.5
228,0.1,0.35,0.2,0.05,6,0.3045679078626625,0.09782745542830647,41,41,23,18.5
229,0.1,0.35,0.2,0.05,8,0.3085661297218516,0.09569655516650213,41,41,23,18.5
230,0.1,0.35,0.2,0.1,1,0.2460163704401951,0.09982095458859024,41,41,23,18.5
231,0.1,0.35,0.2,0.1,2,0.24603696965019128,0.09977449930396719,41,41,23,18.5
232,0.1,0.35,0.2,0.1,4,0.2461471721810165,0.099483632300422,41,41,23,18.5
233,0.1,0.35,0.2,0.1,6,0.24604153576410753,0.09836656371192187,41,41,23,18.5
234,0.1,0.35,0.2,0.1,8,0.2416840515454624,0.0922150674302097,41,41,23,18.5
235,0.1,0.35,0.2,0.2,1,0.22579655725099929,0.09731603622856111,41,41,23,18.5
236,0.1,0.35,0.2,0.2,2,0.22569372335618906,0.09736984784889055,41,41,23,18.5
237,0.1,0.35,0.2,0.2,4,0.22524626388925217,0.0975376111056488,41,41,23,18.5
238,0.1,0.35,0.2,0.2,6,0.22382482715913485,0.09674238124920212,41,41,23,18.5
239,0.1,0.35,0.2,0.2,8,0.22237090714510432,0.09561666419999297,41,41,23,18.5
240,0.1,0.35,0.2,0.3,1,0.22548838779125718,0.09906183643472044,41,41,23,18.5
241,0.1,0.35,0.2,0.3,2,0.2253464226646149,0.09914524480121549,41,41,23,18.5
242,0.1,0.35,0.2,0.3,4,0.22477394913619764,0.09951599076337915,41,41,23,18.5
243,0.1,0.35,0.2,0.3,6,0.22338025436601197,0.099177654973053,41,41,23,18.5
244,0.1,0.35,0.2,0.3,8,0.23860945495409952,0.11484465627672079,41,41,23,18.5
245,0.1,0.35,0.2,0.4,1,0.22942190635893456,0.10233014058457864,41,41,23,18.5
246,0.1,0.35,0.2,0.4,2,0.22925880144019778,0.1024248881394686,41,41,23,18.5
247,0.1,0.35,0.2,0.4,4,0.2286048304805181,0.10289000136625269,41,41,23,18.5
248,0.1,0.35,0.2,0.4,6,0.22917868581997697,0.10483102303479075,41,41,23,18.5
249,0.1,0.35,0.2,0.4,8,0.2748491349947341,0.15095197905086055,41,41,23,18.5
250,0.1,0.35,0.4,0.05,1,0.2866004629703935,0.10513369116004347,41,41,23,18.5
251,0.1,0.35,0.4,0.05,2,0.2867869930851968,0.10502687940325246,41,41,23,18.5
252,0.1,0.35,0.4,0.05,4,0.28766850592649795,0.10477222520403297,41,41,23,18.5
253,0.1,0.35,0.4,0.05,6,0.2902224397005839,0.10408923677796979,41,41,23,18.5
254,0.1,0.35,0.4,0.05,8,0.2944518939332933,0.10441128558826267,41,41,23,18.5
255,0.1,0.35,0.4,0.1,1,0.24678663168135667,0.10156464528254659,41,41,23,18.5
256,0.1,0.35,0.4,0.1,2,0.24680464814229733,0.10152556326215803,41,41,23,18.5
257,0.1,0.35,0.4,0.1,4,0.24684229474090763,0.10131449194266419,41,41,23,18.5
258,0.1,0.35,0.4,0.1,6,0.2469361770996637,0.10051117498630295,41,41,23,18.5
259,0.1,0.35,0.4,0.1,8,0.2458076867327868,0.09810791909838357,41,41,23,18.5
260,0.1,0.35,0.4,0.2,1,0.22869127293457214,0.09873108209658088,41,41,23,18.5
261,0.1,0.35,0.4,0.2,2,0.22857923553116927,0.09871599493985622,41,41,23,18.5
262,0.1,0.35,0.4,0.2,4,0.2279235738276399,0.09839060498423254,41,41,23,18.5
263,0.1,0.35,0.4,0.2,6,0.22598414048399307,0.09707593218055782,41,41,23,18.5
264,0.1,0.35,0.4,0.2,8,0.2195255342196382,0.09099119923569074,41,41,23,18.5
265,0.1,0.35,0.4,0.3,1,0.22812041809523065,0.10028590565469976,41,41,23,18.5
266,0.1,0.35,0.4,0.3,2,0.2279553478634273,0.10027137635539474,41,41,23,18.5
267,0.1,0.35,0.4,0.3,4,0.22702070623603732,0.09986786695823831,41,41,23,18.5
268,0.1,0.35,0.4,0.3,6,0.22434726508753028,0.09833622934816684,41,41,23,18.5
269,0.1,0.35,0.4,0.3,8,0.21639332140122702,0.09117976486132434,41,41,23,18.5
270,0.1,0.35,0.4,0.4,1,0.2317370353750983,0.10342616782181688,41,41,23,18.5
271,0.1,0.35,0.4,0.4,2,0.23154097557229264,0.10340909662064555,41,41,23,18.5
272,0.1,0.35,0.4,0.4,4,0.23045605065534103,0.10296164222030303,41,41,23,18.5
273,0.1,0.35,0.4,0.4,6,0.22749385156060514,0.10142941872712143,41,41,23,18.5
274,0.1,0.35,0.4,0.4,8,0.21996618899296871,0.09487770351879256,41,41,23,18.5
275,0.1,0.35,0.6,0.05,1,0.26447532240670646,0.10205979450262165,41,41,23,18.5
276,0.1,0.35,0.6,0.05,2,0.2645754276836442,0.10199972265399067,41,41,23,18.5
277,0.1,0.35,0.6,0.05,4,0.2650128359726408,0.10187032903462226,41,41,23,18.5
278,0.1,0.35,0.6,0.05,6,0.26620954150763076,0.10141303103187656,41,41,23,18.5
279,0.1,0.35,0.6,0.05,8,0.2678814550774499,0.10124762052781945,41,41,23,18.5
280,0.1,0.35,0.6,0.1,1,0.2461611596558177,0.10365736820435578,41,41,23,18.5
281,0.1,0.35,0.6,0.1,2,0.24618740019087088,0.1036240888642156,41,41,23,18.5
282,0.1,0.35,0.6,0.1,4,0.2462727602940865,0.10348861971041474,41,41,23,18.5
283,0.1,0.35,0.6,0.1,6,0.24657853961007,0.10306060678264975,41,41,23,18.5
284,0.1,0.35,0.6,0.1,8,0.24687314812617522,0.10243364068965737,41,41,23,18.5
285,0.1,0.35,0.6,0.2,1,0.23571905008307836,0.10413980027566415,41,41,23,18.5
286,0.1,0.35,0.6,0.2,2,0.23562783300895476,0.1041109165213461,41,41,23,18.5
