,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
75,0.5,0.35,0.05,1,0.040349470406308,0.030471011169853623,7,7,7,3.6399999999999992
76,0.5,0.35,0.05,2,0.04927544182564004,0.0504524393162577,7,7,7,3.645545226711637
77,0.5,0.35,0.05,4,0.041330572256357855,0.023881329731809297,7,7,7,5.039999999999993
78,0.5,0.35,0.05,6,0.059534291999463536,0.05181363884209772,7,7,7,5.324697174487962
79,0.5,0.35,0.05,8,0.05934837446390794,0.04427565573269463,7,7,7,4.205187272880963
80,0.5,0.35,0.1,1,0.04642805171741938,0.052404158992794825,7,7,7,6.720000000000009
81,0.5,0.35,0.1,2,0.04825914162690658,0.070862126918778,7,7,7,5.320000000000007
82,0.5,0.35,0.1,4,0.03859522377397238,0.028736362977026413,7,7,7,3.219999999999996
83,0.5,0.35,0.1,6,0.06853696030361503,0.09357636469258063,7,7,7,4.065267518872522
84,0.5,0.35,0.1,8,0.07717118465973959,0.14072449833274464,7,7,7,3.5056525783368824
85,0.5,0.35,0.2,1,0.213851343737006,0.23928700416610477,7,7,7,4.553020975132884
86,0.5,0.35,0.2,2,0.047161216929556146,0.05187482933814935,8,7,7,8.26000000000001
87,0.5,0.35,0.2,4,0.0465916660218285,0.06318864624863024,7,7,7,5.753468519076129
88,0.5,0.35,0.2,6,0.05443947866057886,0.07105170171878995,7,7,7,5.7445626465380375
89,0.5,0.35,0.2,8,0.056987013882990656,0.04395150256250401,10,7,7,27.723210492293283
90,0.5,0.35,0.3,1,0.3011169202029685,0.47657420926182464,7,7,7,1.6326665305566832
91,0.5,0.35,0.3,2,0.08479403864573945,0.11725624186027872,8,7,7,6.910889957161803
92,0.5,0.35,0.3,4,0.0473389022594918,0.07354903671027341,13,7,7,45.9124776068554
93,0.5,0.35,0.3,6,0.0728268792176884,0.17694174772983692,7,7,7,3.086033052318137
94,0.5,0.35,0.3,8,0.07525545739425665,0.12803231455608918,76,7,7,487.0628772550823
95,0.5,0.35,0.4,1,0.38254394374573514,0.4726874018112593,6,7,7,1.67630546142402
96,0.5,0.35,0.4,2,0.18011444647146507,0.2902124616168424,8,7,7,8.165782265037441
97,0.5,0.35,0.4,4,0.09489318792885298,0.18373345444376757,74,7,7,469.5175775197351
98,0.5,0.35,0.4,6,0.07502701983132791,0.14720332730553615,79,7,7,509.3228763760762
99,0.5,0.35,0.4,8,0.07600724655379575,0.13299631419260372,84,7,7,542.0828752137443
100,0.5,0.5,0.05,1,0.09696868952815307,0.10016408328539692,7,7,7,2.3234457170332155
101,0.5,0.5,0.05,2,0.11599758853609511,0.10367766493229115,7,7,7,3.725640884465383
102,0.5,0.5,0.05,4,0.15075853144021945,0.10399098632786777,6,6,6,2.2297085011274427
103,0.5,0.5,0.05,6,0.22590809472425252,0.04539849195940976,6,6,6,2.661503334583671
104,0.5,0.5,0.05,8,0.22504865791750386,0.04859719099492055,6,6,6,2.8011426240018555
105,0.5,0.5,0.1,1,0.06829604049769696,0.12905779762789488,7,7,7,1.4538225476308995
106,0.5,0.5,0.1,2,0.0947743143324547,0.1017892559338481,7,7,7,2.5987689393249247
107,0.5,0.5,0.1,4,0.1378316548768733,0.10758724420108638,6,7,7,2.211334438749597
108,0.5,0.5,0.1,6,0.24696250969841116,0.13286349970298003,6,6,6,2.5219040425837034
109,0.5,0.5,0.1,8,0.22343688922026922,0.05256088848319678,6,6,6,2.5219040425837034
110,0.5,0.5,0.2,1,0.07151458890421493,0.16006113842132152,6,7,7,1.0860939185908367
111,0.5,0.5,0.2,2,0.052716605789453024,0.07643217385572486,7,7,7,1.741723284566183
112,0.5,0.5,0.2,4,0.10496751121995762,0.1629224956568765,7,7,7,1.891137224000418
