,eta,epsilon,mu,K,TMSE,CB,tradeOff
133,0.1,1.0,0.1,6,0.4687007256670817,5,0.46870239250600054
134,0.1,1.0,0.1,8,0.4687007256670817,5,0.46870239250600054
135,0.1,1.0,0.2,1,0.48114106873133766,5,0.48114269247275676
136,0.1,1.0,0.2,2,0.49067910205679427,5,0.49068069423532645
137,0.1,1.0,0.2,4,0.5253803086237252,5,0.5253817956396669
138,0.1,1.0,0.2,6,0.4687007256670817,5,0.46870239250600054
139,0.1,1.0,0.2,8,0.4687007256670817,5,0.46870239250600054
140,0.1,1.0,0.3,1,0.5607593188666659,5,0.5607607120651438
141,0.1,1.0,0.3,2,0.2548950019739858,6,0.2548994155178042
142,0.1,1.0,0.3,4,0.010620429232339294,8,0.010807104935139984
143,0.1,1.0,0.3,6,0.4687007256670817,5,0.46870239250600054
144,0.1,1.0,0.3,8,0.4687007256670817,5,0.46870239250600054
145,0.1,1.0,0.4,1,0.32752619442942055,5,0.32752857972613414
146,0.1,1.0,0.4,2,0.6078928122538154,6,0.6078946629062082
147,0.1,1.0,0.4,4,0.029370774125465238,8,0.029438790272854256
148,0.1,1.0,0.4,6,0.4687007256670817,5,0.46870239250600054
149,0.1,1.0,0.4,8,0.4687007256670817,5,0.46870239250600054
150,0.2,0.35,0.05,1,0.02670018416463425,20,0.02716431177897547
151,0.2,0.35,0.05,2,0.0112608026453141,26,0.01300214121661171
152,0.2,0.35,0.05,4,0.018646251674027465,20,0.01930499162111116
153,0.2,0.35,0.05,6,0.012928693365806612,26,0.014470698398731552
154,0.2,0.35,0.05,8,0.013418323194534565,26,0.014909775228117435
155,0.2,0.35,0.1,1,0.01888554392039259,27,0.020055579502200317
156,0.2,0.35,0.1,2,0.03271583204153892,18,0.03302386510041162
157,0.2,0.35,0.1,4,0.02740596598380943,19,0.02781455502979905
158,0.2,0.35,0.1,6,0.013457160326711987,27,0.015055154069581323
159,0.2,0.35,0.1,8,0.011398495202674242,26,0.013121573567426572
160,0.2,0.35,0.2,1,0.05603452355072365,13,0.05612869435107683
161,0.2,0.35,0.2,2,0.10113634841590706,17,0.10122560679444577
162,0.2,0.35,0.2,4,0.01191038095697138,40,0.015551757924433704
163,0.2,0.35,0.2,6,0.17962855843239553,30,0.17978506335204975
164,0.2,0.35,0.2,8,0.0037469351928721296,59,0.015218476380360278
