,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
100,100,0.5,0.5,0.05,1,0.10959973674340917,7
101,101,0.5,0.5,0.05,2,0.12201760916096872,6
102,102,0.5,0.5,0.05,4,0.15469942977980528,6
103,103,0.5,0.5,0.05,6,0.23426846250612945,6
104,104,0.5,0.5,0.05,8,0.2304531185347948,6
105,105,0.5,0.5,0.1,1,0.06655061468621305,7
106,106,0.5,0.5,0.1,2,0.08841859651093319,7
107,107,0.5,0.5,0.1,4,0.11503011319005772,7
108,108,0.5,0.5,0.1,6,0.2351167875038033,6
109,109,0.5,0.5,0.1,8,0.21541521559505628,6
110,110,0.5,0.5,0.2,1,0.08264711907056503,6
111,111,0.5,0.5,0.2,2,0.04867327010459345,7
112,112,0.5,0.5,0.2,4,0.09743329459131304,7
113,113,0.5,0.5,0.2,6,0.21908394825318286,7
114,114,0.5,0.5,0.2,8,0.21449207223032749,6
115,115,0.5,0.5,0.3,1,0.11111137015994103,7
116,116,0.5,0.5,0.3,2,0.0518290899248611,7
117,117,0.5,0.5,0.3,4,0.07087793195265267,12
118,118,0.5,0.5,0.3,6,0.28819720715005365,6
119,119,0.5,0.5,0.3,8,0.21604554646184293,6
120,120,0.5,0.5,0.4,1,0.08327338945109579,7
121,121,0.5,0.5,0.4,2,0.10809538431592,7
122,122,0.5,0.5,0.4,4,0.11826051222904466,6
123,123,0.5,0.5,0.4,6,0.24397464051503015,6
124,124,0.5,0.5,0.4,8,0.2325909215932779,62
125,125,0.5,1.0,0.05,1,0.6625944552979471,5
126,126,0.5,1.0,0.05,2,0.6405411417074979,5
127,127,0.5,1.0,0.05,4,0.5063035738923479,5
128,128,0.5,1.0,0.05,6,0.5600092972115133,5
129,129,0.5,1.0,0.05,8,0.561893381873804,5
130,130,0.5,1.0,0.1,1,0.6637382458961685,5
131,131,0.5,1.0,0.1,2,0.6332159565427493,5
132,132,0.5,1.0,0.1,4,0.5107391773376021,5
133,133,0.5,1.0,0.1,6,0.5550651693566209,5
134,134,0.5,1.0,0.1,8,0.561893381873804,5
135,135,0.5,1.0,0.2,1,0.6307584101168924,5
136,136,0.5,1.0,0.2,2,0.5897955177298553,5
137,137,0.5,1.0,0.2,4,0.492216580984168,5
138,138,0.5,1.0,0.2,6,0.5577260100605712,5
139,139,0.5,1.0,0.2,8,0.561893381873804,5
140,140,0.5,1.0,0.3,1,0.5531927858110592,5
141,141,0.5,1.0,0.3,2,0.5298648542022816,5
142,142,0.5,1.0,0.3,4,0.4546789126320807,5
143,143,0.5,1.0,0.3,6,0.5512821751136472,5
144,144,0.5,1.0,0.3,8,0.561893381873804,5
145,145,0.5,1.0,0.4,1,0.4346629198670644,6
146,146,0.5,1.0,0.4,2,0.561687155262729,5
147,147,0.5,1.0,0.4,4,0.4433844258054891,5
148,148,0.5,1.0,0.4,6,0.5497800954839793,5
149,149,0.5,1.0,0.4,8,0.561893381873804,5
150,150,0.9,0.35,0.05,1,0.06490230063088641,7
151,151,0.9,0.35,0.05,2,0.06982516848059475,7
152,152,0.9,0.35,0.05,4,0.07366795509287914,7
153,153,0.9,0.35,0.05,6,0.08727469932763363,7
154,154,0.9,0.35,0.05,8,0.09357285880094787,7
155,155,0.9,0.35,0.1,1,0.08714418538745877,7
156,156,0.9,0.35,0.1,2,0.06902388728275742,7
157,157,0.9,0.35,0.1,4,0.08279539879585694,7
158,158,0.9,0.35,0.1,6,0.08464638828534281,8
159,159,0.9,0.35,0.1,8,0.0947555690725583,7
160,160,0.9,0.35,0.2,1,0.2176025971975387,7
161,161,0.9,0.35,0.2,2,0.08838414369580662,7
162,162,0.9,0.35,0.2,4,0.08867883547339711,7
163,163,0.9,0.35,0.2,6,0.08771306029075875,7
164,164,0.9,0.35,0.2,8,0.10509739373100707,55
165,165,0.9,0.35,0.3,1,0.4263689847036349,6
166,166,0.9,0.35,0.3,2,0.32951970749574705,27
167,167,0.9,0.35,0.3,4,0.14076389510138462,7
168,168,0.9,0.35,0.3,6,0.1019378518032244,80
169,169,0.9,0.35,0.3,8,0.10831504369580423,7
170,170,0.9,0.35,0.4,1,1.046831725588932,7
171,171,0.9,0.35,0.4,2,0.3627635825506183,13
172,172,0.9,0.35,0.4,4,0.1617103994192677,130
173,173,0.9,0.35,0.4,6,0.12727673454906305,83
174,174,0.9,0.35,0.4,8,0.10804511713579293,84
175,175,0.9,0.5,0.05,1,0.17152426377607707,7
176,176,0.9,0.5,0.05,2,0.2200219965824009,6
177,177,0.9,0.5,0.05,4,0.2745487095354973,6
178,178,0.9,0.5,0.05,6,0.3857038684885434,6
179,179,0.9,0.5,0.05,8,0.37590707306721055,6
180,180,0.9,0.5,0.1,1,0.10377997061471436,7
181,181,0.9,0.5,0.1,2,0.14451359683373174,7
182,182,0.9,0.5,0.1,4,0.22292706258586714,6
183,183,0.9,0.5,0.1,6,0.3915210846324168,6
184,184,0.9,0.5,0.1,8,0.3756015598656747,6
185,185,0.9,0.5,0.2,1,0.11983426733036262,7
186,186,0.9,0.5,0.2,2,0.1343693342161194,7
187,187,0.9,0.5,0.2,4,0.18563742717681786,7
188,188,0.9,0.5,0.2,6,0.3782582884826042,6
189,189,0.9,0.5,0.2,8,0.3736012801322836,6
190,190,0.9,0.5,0.3,1,0.15207840175542384,7
191,191,0.9,0.5,0.3,2,0.05455393816876345,19
192,192,0.9,0.5,0.3,4,0.1359160752375456,7
193,193,0.9,0.5,0.3,6,0.4814985854685984,6
194,194,0.9,0.5,0.3,8,0.3914915432110617,67
195,195,0.9,0.5,0.4,1,0.11041453849011244,8
196,196,0.9,0.5,0.4,2,0.1758226628809233,51
197,197,0.9,0.5,0.4,4,0.17207214827129827,73
198,198,0.9,0.5,0.4,6,0.4191989888379469,81
199,199,0.9,0.5,0.4,8,0.3920930045649304,73
200,200,0.9,1.0,0.05,1,1.06972515489944,5
201,201,0.9,1.0,0.05,2,1.0224130249776169,5
202,202,0.9,1.0,0.05,4,0.8753093047046631,5
203,203,0.9,1.0,0.05,6,0.8800883015726805,5
204,204,0.9,1.0,0.05,8,0.8870546328570079,5
205,205,0.9,1.0,0.1,1,1.0855582904236682,5
206,206,0.9,1.0,0.1,2,0.9952306330301676,5
207,207,0.9,1.0,0.1,4,0.8540991266482649,5
208,208,0.9,1.0,0.1,6,0.8662258426075243,5
209,209,0.9,1.0,0.1,8,0.8870546328570079,5
210,210,0.9,1.0,0.2,1,1.0398593998632386,5
211,211,0.9,1.0,0.2,2,0.9082115870363372,5
212,212,0.9,1.0,0.2,4,0.8427934771592491,5
213,213,0.9,1.0,0.2,6,0.8742485818917678,5
214,214,0.9,1.0,0.2,8,0.8870546328570079,5
215,215,0.9,1.0,0.3,1,0.8690991590496772,5
216,216,0.9,1.0,0.3,2,0.7494584751455327,5
217,217,0.9,1.0,0.3,4,0.8113681381937038,5
218,218,0.9,1.0,0.3,6,0.8607370670307148,5
219,219,0.9,1.0,0.3,8,0.8870546328570079,5
220,220,0.9,1.0,0.4,1,0.8497635131642371,6
221,221,0.9,1.0,0.4,2,0.8448202866034439,5
222,222,0.9,1.0,0.4,4,0.7487379418210786,5
223,223,0.9,1.0,0.4,6,0.8596369924297957,5
224,224,0.9,1.0,0.4,8,0.8870546328570079,5
