,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
232,0.9,0.1,2.0,0.1,2,0.15548874750188288,404,0.18541237984477815
233,0.9,0.1,2.0,0.1,5,0.15549074354997397,404,0.18541405375462716
234,0.9,0.1,2.0,0.1,10,0.15550587644200642,404,0.18542674458663336
235,0.9,0.1,2.0,0.1,20,0.1560512022842862,404,0.18588431277106526
236,0.9,0.1,2.0,1.0,2,0.05303578569458631,404,0.11407801963674723
237,0.9,0.1,2.0,1.0,5,0.053031828485427285,404,0.11407617995229231
238,0.9,0.1,2.0,1.0,10,0.05300188932071613,404,0.11406226488881169
239,0.9,0.1,2.0,1.0,20,0.05200067104078542,404,0.11360048322384893
240,0.9,1.0,0.01,0.001,2,0.9967209851279665,15,0.9967280394844242
241,0.9,1.0,0.01,0.001,5,0.9967209851279665,15,0.9967280394844242
242,0.9,1.0,0.01,0.001,10,0.9967209851279665,15,0.9967280394844242
243,0.9,1.0,0.01,0.001,20,0.9967209851279665,15,0.9967280394844242
244,0.9,1.0,0.01,0.1,2,0.9967209851279665,15,0.9967280394844242
245,0.9,1.0,0.01,0.1,5,0.9967209851279665,15,0.9967280394844242
246,0.9,1.0,0.01,0.1,10,0.9967209851279665,15,0.9967280394844242
247,0.9,1.0,0.01,0.1,20,0.9967209851279665,15,0.9967280394844242
248,0.9,1.0,0.01,0.1,2,0.9967209851279665,15,0.9967280394844242
249,0.9,1.0,0.01,0.1,5,0.9967209851279665,15,0.9967280394844242
250,0.9,1.0,0.01,0.1,10,0.9967209851279665,15,0.9967280394844242
251,0.9,1.0,0.01,0.1,20,0.9967209851279665,15,0.9967280394844242
252,0.9,1.0,0.01,1.0,2,0.9967209851279665,15,0.9967280394844242
253,0.9,1.0,0.01,1.0,5,0.9967209851279665,15,0.9967280394844242
254,0.9,1.0,0.01,1.0,10,0.9967209851279665,15,0.9967280394844242
255,0.9,1.0,0.01,1.0,20,0.9967209851279665,15,0.9967280394844242
256,0.9,1.0,0.1,0.001,2,2.61971613294808,15,2.6197188169207095
257,0.9,1.0,0.1,0.001,5,2.61971613294808,15,2.6197188169207095
258,0.9,1.0,0.1,0.001,10,2.61971613294808,15,2.6197188169207095
259,0.9,1.0,0.1,0.001,20,2.61971613294808,15,2.6197188169207095
260,0.9,1.0,0.1,0.1,2,2.61971613294808,15,2.6197188169207095
261,0.9,1.0,0.1,0.1,5,2.61971613294808,15,2.6197188169207095
262,0.9,1.0,0.1,0.1,10,2.61971613294808,15,2.6197188169207095
263,0.9,1.0,0.1,0.1,20,2.61971613294808,15,2.6197188169207095
264,0.9,1.0,0.1,0.1,2,2.61971613294808,15,2.6197188169207095
265,0.9,1.0,0.1,0.1,5,2.61971613294808,15,2.6197188169207095
266,0.9,1.0,0.1,0.1,10,2.61971613294808,15,2.6197188169207095
267,0.9,1.0,0.1,0.1,20,2.61971613294808,15,2.6197188169207095
268,0.9,1.0,0.1,1.0,2,2.61971613294808,15,2.6197188169207095
269,0.9,1.0,0.1,1.0,5,2.61971613294808,15,2.6197188169207095
270,0.9,1.0,0.1,1.0,10,2.61971613294808,15,2.6197188169207095
271,0.9,1.0,0.1,1.0,20,2.61971613294808,15,2.6197188169207095
272,0.9,1.0,2.0,0.001,2,0.21473674803714413,15,0.2147694891216346
273,0.9,1.0,2.0,0.001,5,0.2143439714156846,15,0.21437677248771103
274,0.9,1.0,2.0,0.001,10,0.21300790321855784,15,0.21304090999985545
275,0.9,1.0,2.0,0.001,20,0.21259489517880842,15,0.21262796607240672
276,0.9,1.0,2.0,0.1,2,0.4911905705616928,15,0.49120488506194776
277,0.9,1.0,2.0,0.1,5,0.43262209898311543,15,0.4326383513149944
278,0.9,1.0,2.0,0.1,10,0.256532656302595,15,0.25656006362967976
279,0.9,1.0,2.0,0.1,20,0.21259489517880842,15,0.21262796607240672
280,0.9,1.0,2.0,0.1,2,0.4911905705616928,15,0.49120488506194776
281,0.9,1.0,2.0,0.1,5,0.43262209898311543,15,0.4326383513149944
282,0.9,1.0,2.0,0.1,10,0.256532656302595,15,0.25656006362967976
283,0.9,1.0,2.0,0.1,20,0.21259489517880842,15,0.21262796607240672
284,0.9,1.0,2.0,1.0,2,2.461567401389933,15,2.461570257800006
285,0.9,1.0,2.0,1.0,5,2.310847432157562,15,2.3108504748704966
286,0.9,1.0,2.0,1.0,10,0.781464774975622,15,0.7814737724502976
287,0.9,1.0,2.0,1.0,20,0.21259489517880842,15,0.21262796607240672
