,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
247,77,60,27,11,12,133,160,24,83,95,44,81,99,62,60,97,108,16,75,75,0.052566013911291225,0.112283778038276,0.469871497597842,0.6982656173128536,0.7535484345693674,0.023683786315613155,0.020628310581067868,0.7212094071058371,0.008585495898632575,0.015847397798770917,0.07909840045664339,0.020044239720354077,0.019345859487254702,0.06820108122058853,0.053638768787653335,0.01714988813727849,0.022429353513765873,0.46136291212102437,0.03606702695567096,0.01168388164142478,69.95,0.18327555755856054
248,77,62,27,11,12,133,161,24,83,95,44,81,99,62,60,97,108,16,75,75,0.052473512108201066,0.10187102375656316,0.4698587295725204,0.6970801245718214,0.7414479618686173,0.02345289535953644,0.021573917055278183,0.7212503506622899,0.008661145752640586,0.015833192087298324,0.0755756359722492,0.020038202958533473,0.01819493722599861,0.06820862593476117,0.05401939778233924,0.017156519675972516,0.022318793509960425,0.45919795185313045,0.036016353353908064,0.011819583367664373,70.1,0.1818024427214642
249,77,62,28,11,13,133,161,24,83,95,44,81,101,62,60,97,108,16,75,75,0.052854977807526286,0.09804509037915855,0.4518739347032576,0.6918049178198329,0.7141905069379995,0.02365093670581726,0.02023295102890713,0.7212530042282633,0.008647862926272058,0.01580376361421253,0.06986339556058166,0.02018789399938095,0.018219379904323783,0.06834558625723448,0.053988077167690884,0.017135197354757506,0.02225494128969301,0.45486502375391563,0.03618543027508828,0.01199696402572306,70.3,0.1785699917869818
250,77,62,31,12,13,133,162,24,83,95,45,81,102,62,60,97,109,16,75,75,0.052290271484575546,0.0980434806504689,0.32246936968678286,0.6748821527888006,0.7090925467834784,0.023817680948534644,0.021371347066042063,0.7212916478365426,0.0087218279999359,0.01572097349793004,0.06949156927154711,0.020090738904703833,0.018289945453949952,0.06830007139043455,0.05370378868996507,0.017435546451904087,0.021815214601204322,0.45555768221437815,0.03604819443608705,0.011997586880990545,70.7,0.1710215818519128
251,77,63,31,12,13,133,162,24,83,95,45,81,102,62,60,97,109,16,75,75,0.052227966330238684,0.09995004777030182,0.26801846145336833,0.6741154443891538,0.7112971098795933,0.02323791074252434,0.023455226475841254,0.7219916288820735,0.008988865454482757,0.015769682286266375,0.0686493202178709,0.02040544773297061,0.016950633460697653,0.06836866261476547,0.0534996286506515,0.016402680999482604,0.021955106856838515,0.45953663226604047,0.03604882396244739,0.012038373104422396,70.75,0.1686453826765016
252,77,64,32,12,13,133,162,24,83,95,45,81,103,62,60,97,109,16,75,75,0.052260250796676955,0.09869379342946981,0.26842643203214256,0.6771906223168683,0.7121451173438546,0.023431452038343938,0.023241807281986132,0.7224271953847609,0.00903575459029924,0.015866787233001608,0.06809633008087276,0.02060197046511172,0.017085150524654275,0.06829671187675825,0.053404538778377225,0.0168242322914141,0.022516552451208965,0.4607690988657613,0.03628413715150897,0.011880189317367111,70.9,0.16892390621252193
253,77,66,33,12,13,133,162,24,83,95,45,81,103,62,60,97,109,16,75,75,0.05224895925359284,0.08740181607784216,0.2567644367502458,0.6782704782516048,0.7119776354839414,0.023577190018230186,0.02358839373522035,0.7223555289058438,0.009034537090000698,0.015900913427055817,0.07071351595060778,0.02083984950388511,0.01649983113651355,0.06824617089031652,0.05344004899668556,0.01688446179026182,0.02253778170426491,0.4612469282051866,0.03614222589322016,0.01198409925836215,71.05,0.16798274011614406
254,79,66,33,12,13,133,162,24,83,95,46,81,103,62,60,97,109,16,75,75,0.052236304361416824,0.08120889406095783,0.2536266946318726,0.6783043621174032,0.7122054393411102,0.02359726875737828,0.023274568974452802,0.7222418454017363,0.008838314875282215,0.015918277055986342,0.06841368756750334,0.020881574572080674,0.016743683658694657,0.06840948176815133,0.054056265840108114,0.016898285595993105,0.02277702565749562,0.4598942681737853,0.03613446687989354,0.01204343687672534,71.2,0.16738520730840137
255,79,66,33,12,13,133,162,24,83,95,47,81,103,62,60,97,109,16,75,75,0.0521272350516354,0.07025893336501193,0.25354137209502714,0.6777211106235597,0.6960754910799805,0.023579202798069878,0.023114373794282262,0.7222056142069658,0.008848582563367477,0.015946491785402438,0.06400340908947624,0.020810577361952964,0.016698816128806013,0.06844730168041734,0.05414799860248366,0.016982288587383813,0.022728560139249825,0.4559354037533659,0.03613568786345404,0.012233657243417372,71.25,0.1655771053906655
256,79,66,33,13,14,133,163,24,83,95,48,81,103,62,60,97,109,16,75,75,0.052147551121955966,0.06737491202480635,0.2533980377715262,0.6544198669197906,0.6751823722600767,0.02338425686527316,0.02108597550731452,0.7219147684302861,0.009209593314309972,0.0159447041812931,0.05819818459748084,0.020889257426340246,0.016591249625399564,0.06890462606107754,0.05441320962614598,0.01666426714429373,0.022527390186300893,0.4453504343717609,0.036120874572227,0.012243817802293574,71.45,0.16229826749049764
