,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
62,58,49,34,98,30,9,77,82,48,35,6,43,140,56,61,77,50,51,74,48,0.1575345845836853,0.12219442250211822,0.28692134940690006,0.026587331470695617,0.3719381153711201,0.9128635514424472,0.04977434892798559,0.031453177297684445,0.34891158539491957,0.241226176240756,0.9717565332118,0.390230197822367,0.0347736704290638,0.05578227186350114,0.14241422725925962,0.11262890353867915,0.12333146754953006,0.10865175007297237,0.07844238134240822,0.08789632773426827,56.3,0.23276561867310805
63,58,51,34,98,30,9,77,83,48,36,6,43,142,56,61,77,50,51,75,48,0.15298844653774757,0.12031279018806333,0.28655275357621784,0.027881438422518758,0.37212186800787866,0.909823790017878,0.05025579690887952,0.031675368579657213,0.3551823835430573,0.23826972038841207,0.9722973231920927,0.38342206039701354,0.030958562863177753,0.05532334488661666,0.14200923330592613,0.11028751982244543,0.1246905794860803,0.09375733934255512,0.07439981316867098,0.08911418094375231,56.65,0.2310662156789321
64,58,51,34,99,31,9,77,83,48,36,6,43,142,56,61,77,50,52,77,48,0.14984741128594334,0.12100525303748635,0.28537690024193446,0.02533320475338899,0.3650403692085371,0.9131104438984061,0.05507511716217755,0.03165231411538036,0.3510154239887297,0.2241553368422036,0.9718872348201816,0.38023596450082314,0.024649546065739797,0.05570210207432921,0.14120576174377406,0.10415853114051661,0.12502050528469488,0.08652710313095015,0.07158872836603314,0.08905391454546442,56.9,0.22858205831033476
65,58,51,34,99,31,9,77,84,48,37,6,43,142,56,62,77,51,53,78,48,0.1442339904353075,0.12228832618296225,0.2853294464935044,0.02157759935266644,0.3625645126710139,0.9132017913129511,0.053679165487858796,0.03251079016986843,0.34640511396458407,0.20366343590000205,0.971859191774047,0.3743669356972486,0.026266971051319882,0.05640060309898437,0.14071547081540503,0.10261095612688236,0.12328356213193935,0.08994720707455944,0.0697485612257296,0.08874265491590685,57.2,0.2264698142941371
66,60,51,34,99,33,9,77,84,48,37,6,43,142,56,62,77,51,53,78,48,0.13800547126811727,0.12241443223332893,0.2853588925705312,0.020843297426840393,0.358273555541104,0.9134494844883065,0.055942472281990625,0.03261161465059498,0.3391390056965909,0.20596744412215973,0.9719799941208277,0.37390749160831116,0.02464727802542611,0.05720214847793849,0.14120480402463967,0.10293985104326442,0.12308275690913043,0.0898310676501773,0.07267338656479123,0.08787444909386218,57.4,0.2258674448898966
67,60,51,34,99,33,9,77,84,48,37,6,43,142,56,62,77,51,53,78,48,0.13497258199628434,0.12301794896372933,0.28736537139459273,0.02063531494939364,0.35502007344303754,0.9127149471558317,0.059761473276355746,0.03406843524090221,0.33574397935606703,0.19561206182167556,0.9720394838003026,0.37577677304438134,0.024413734155273467,0.05679704899244091,0.14192283184642457,0.10325839322630778,0.12295318591474089,0.08924852849206182,0.07325894094998027,0.08782943171784016,57.4,0.2253205269868812
68,60,52,34,100,33,10,77,84,48,37,6,43,142,56,62,77,51,53,78,48,0.1272826576720202,0.12357158557286631,0.2878889156007951,0.021698067716287423,0.35328220148480727,0.9008490761657141,0.06187984305199296,0.033658825427238734,0.3321869148410217,0.18402538409710448,0.9727355370559368,0.3832694894113776,0.025418573463257953,0.05715460705786572,0.14177239155935498,0.10266884887899708,0.12358704672687441,0.08910912126175559,0.07476212403255693,0.08867765204812668,57.55,0.22427394315629762
69,62,52,34,100,33,12,77,84,48,37,7,43,142,56,62,77,51,53,78,48,0.1235199398828765,0.1254512554126391,0.2881487114211203,0.02227539993916906,0.3517150270955244,1.061650797298782,0.06446112011097893,0.03433798413472602,0.33137746673999796,0.18297326354286053,0.9656423353086535,0.3803377677690891,0.026161112931983234,0.057645806332279066,0.14197801473669017,0.10239370982664411,0.12358933919000445,0.0889471429690166,0.07116961714329136,0.08857544864439637,57.8,0.2316175630215361
70,62,52,34,100,33,12,78,84,48,37,7,44,142,56,62,77,51,53,78,48,0.12156184859432977,0.12484501299004719,0.2884186910465469,0.02225511178815257,0.3516092412809394,1.0605959143914592,0.06546113928254865,0.03359343517613542,0.32895458478802814,0.1819528111165709,0.9662821825339686,0.38891976791193444,0.027063427995552083,0.057744684937542666,0.1420843006834775,0.09927863116936271,0.1242809332961351,0.08840230237144096,0.06847799536197131,0.08884164005807693,57.9,0.23153118283871105
71,62,53,34,101,33,13,78,85,48,37,7,44,143,56,62,77,51,53,78,48,0.12046864525837189,0.12428802625448283,0.2883669961691688,0.022960890019185488,0.3515341593505114,0.9779616933189285,0.06387481692573618,0.03391314217647203,0.3175289480511221,0.17973486573757103,0.964599164422447,0.3870590454716778,0.027150810097150483,0.05678225586538688,0.14183020019098116,0.10048713655815354,0.12465295596096113,0.08653308198436387,0.0700294697873883,0.0885825583243578,58.15,0.22641694309622093
72,64,53,34,101,33,13,78,85,48,38,7,44,143,56,62,78,51,53,78,48,0.08982935969109175,0.12428264196199061,0.2884366905700239,0.0258139397644347,0.338776613520998,0.8730294530311705,0.05973596736065514,0.036827204694223264,0.318472047062583,0.14781831001157536,0.9646451828582115,0.3877119793528397,0.02916627915947357,0.055079910628991244,0.14038431925757258,0.10353830470679418,0.12445881420066807,0.08434781152915867,0.07408706189092434,0.08789634454411369,58.35,0.21771691178987468
73,65,53,34,103,34,13,78,85,48,40,7,44,143,56,62,78,51,53,78,48,0.08660350244496304,0.12394945549042605,0.28812591146533406,0.027119158976917433,0.3271082711650265,0.8539020091030616,0.04728873294690943,0.038751645220309196,0.31935913553687906,0.14182978678241426,0.9645463928491409,0.3894484171924614,0.030179478102492805,0.05509561636685932,0.13981890789831158,0.10247382111401819,0.12542096846681094,0.08603205798760183,0.07269633337944176,0.08891037115527547,58.65,0.21543299868223276
74,65,53,34,103,36,13,78,85,48,40,7,45,143,56,62,79,51,53,78,49,0.07619377450721372,0.12393164877851895,0.287623455338354,0.026070341016788765,0.3260834144352732,0.7752448504206632,0.04254725308348059,0.04200100941621328,0.3192108662515104,0.15349246139382522,0.9645777649546408,0.39638735709182815,0.030913573657347197,0.053965301697808145,0.1395735183935199,0.10211046966169797,0.12523201389441457,0.08683387849022571,0.07030863898094337,0.08962399523838736,58.9,0.2115962793351327
75,65,53,34,103,36,14,78,85,48,41,7,45,143,56,62,79,51,53,78,49,0.07348673352891237,0.12384732256658287,0.28795507658027114,0.025567852571896508,0.3235956197424077,0.7697708798604262,0.04285959068711427,0.04149766971064119,0.32430250782360687,0.10887882154215242,0.9637243650307818,0.39707243499659695,0.033820726739606094,0.051936295650798395,0.13976872723290215,0.0987935299587605,0.12428517031332795,0.08646622095600205,0.06772742869286633,0.08967383036613485,59.0,0.2087515402275894
76,65,53,34,103,36,14,78,86,48,41,7,45,143,56,62,79,51,53,78,49,0.07294566327663446,0.12396922203304556,0.2881350748131816,0.02561767000290669,0.32354432467200256,0.7710429434745826,0.04436271795381304,0.03874868578319831,0.3246306661212824,0.08561331608558646,0.9609190083152261,0.39772153185281184,0.034843969943455955,0.05247380222713616,0.13983629450165283,0.09875672312136982,0.12404923123933462,0.08573173795953172,0.0664896002856118,0.08801777583973,59.05,0.20737249797510474
77,65,53,34,103,36,15,78,86,49,41,7,45,143,56,62,79,51,53,78,49,0.07162577258194407,0.12317706512850574,0.28912777027725406,0.02549079744529456,0.32401596277060585,0.7704591757848434,0.04388906691524762,0.03973866010151779,0.33111777098887085,0.0843444447752366,0.9611127460453641,0.3997797120980481,0.03773191725662827,0.05487629322572029,0.1403695342947331,0.09902145316296306,0.12513538195287735,0.085887936501599,0.06921838559816437,0.08666320826528537,59.15,0.20813915275853523
78,65,53,34,103,36,15,78,87,49,41,7,45,143,56,62,80,51,53,78,49,0.07235928689932908,0.12349642226774657,0.28830714722592615,0.02520459002415502,0.32423547781380496,0.7694147501242901,0.045477059662177605,0.038497273145111956,0.33035001413050236,0.08376672243060734,0.9614965514030718,0.3998055798087521,0.03825875060527966,0.04470660858128813,0.14088525394767712,0.09807303012335593,0.12538181480256813,0.0856733047677727,0.07354680373838231,0.08702524458524072,59.25,0.20779808430435195
79,65,53,34,103,36,15,78,87,49,41,7,45,143,56,63,80,51,54,78,49,0.07388778620040456,0.12372299483424878,0.28743512742517013,0.025497226658671393,0.31665210125950194,0.7367965658152463,0.044076178480319396,0.03764977417159598,0.32959023101127094,0.08438449261233755,0.9616674149371586,0.40088840644733764,0.03671987483512589,0.04101533066204944,0.1408881309609076,0.09996484932030679,0.1273146373244744,0.08445219478820125,0.0747212148253201,0.08825413736859994,59.35,0.20577893349691245
80,65,53,34,103,37,15,79,87,49,41,7,45,143,57,63,80,52,54,78,49,0.07332828744376077,0.1232213146582133,0.28740585208168906,0.025388439309229197,0.31880676312228196,0.7240651644580541,0.04459081699837967,0.0361707117168188,0.32988841117266976,0.08383701671901739,0.9619229514510533,0.39566656887429624,0.03673012563488582,0.03906990349062418,0.14124990445571972,0.10027208163193291,0.12795951178923318,0.08505701908357317,0.07244547759132228,0.08913862171041007,59.55,0.2048107471696583
81,65,53,34,103,37,15,79,87,50,41,7,45,145,57,63,81,52,54,78,49,0.07348492639296464,0.12352462721786739,0.28735779265077593,0.026760000141610268,0.31059332956508107,0.7245964344462119,0.04634905631413158,0.033370166828375875,0.32554059087120746,0.08266019126405447,0.9619482550335968,0.3868264938620682,0.03013076545352255,0.03909086734900043,0.14126577127592926,0.09945139938220837,0.12755920448050748,0.08563510246252058,0.0705186850560702,0.08638185078622113,59.75,0.2031522755416963
82,65,53,34,103,37,15,79,87,50,41,7,45,145,57,63,82,52,54,78,49,0.07377291648290402,0.12524719777908339,0.28743455973705895,0.028701473821964606,0.3084986368005731,0.7198263376858389,0.04864535842146749,0.03309794000651779,0.32387425856844676,0.08331057482159031,0.9613108723063022,0.3886852050755408,0.027602047670020065,0.04077018043186647,0.1411992384885863,0.10286791873187502,0.12662773851304146,0.08594491079109569,0.07010467911693659,0.08322030699856728,59.8,0.20303711761246385
83,66,53,34,103,37,15,79,87,50,41,7,45,145,58,63,86,52,54,78,49,0.07358200349130671,0.12554394777769887,0.28827951878472485,0.026211849469107006,0.3085464558724232,0.7104313483354376,0.04860134809838175,0.03353426452860781,0.3238568229502077,0.08415419430354666,0.9580878139678323,0.3880595195978559,0.02709455350451203,0.041484338101735914,0.14107044646595,0.08909923198088093,0.125138763418819,0.08671355917963298,0.07129630299156238,0.08206822864350989,60.1,0.20164272557318666
84,68,53,34,103,37,15,79,87,50,41,7,45,147,58,63,86,52,54,78,49,0.07306685349856383,0.12557976652757807,0.28847401928249083,0.025326858441478733,0.3077448208683838,0.6770856174875932,0.045139367165368545,0.03404009128876051,0.32376427898732524,0.0848409588737019,0.9580901767665828,0.37543616157517995,0.029299927319361437,0.04153396842268413,0.14097364690221464,0.08629476514584722,0.12405963431513665,0.08700265493916907,0.0721054872071161,0.08205657930938837,60.3,0.19909578171619624
